c P_norm(rated),FC,FC_el,CO2
[-],[g/h/kWrated],[kWh/h/kWrated],[g/h/kWrated]
Pdrive (Engine) = 28.3103583893115,Extrapolation: Pe: -0.2
idle,5.5889754391169,0,17.5102875010917
-0.2,0,0,0
-0.1,0.21505149279364,0,0.673757383151176
0,5.80142235204363,0,18.1758847227274
0.1,28.5424397326196,0,89.4236038689271
0.2,49.9318469177051,0,156.436721634201
0.3,71.1218827347628,0,222.825207924228
0.4,94.2888791178215,0,295.407521377409
0.5,118.670207166976,0,371.794341904677
0.6,143.285534707149,0,448.914283986598
0.7,170.445513231375,0,534.006630099647
0.8,195.433636847256,0,612.294544117754
0.9,228.664013062282,0,716.405476010934
1,252.259381570742,0,790.329881436951
