Variable,Value
num_persontrips_all,18412
total_number_of_finished_trips,2325
share_persontrips_finished,0.12627634151640235
share_finished_trips_per_mode,"{'walk': 0.19089264173703258, 'passenger1': 0.3574585635359116, 'SAV': 0.035897435897435895, 'taxi1': 0.038341506910387874, 'motorcycle': 0.6086956521739131, 'bus': 0.06535269709543569, 'tram1': 0.16666666666666666}"
mode_shares,"{'walk': 0.3601998696502281, 'passenger1': 0.09830545296545731, 'SAV': 0.24359113621551162, 'taxi1': 0.24364544862046492, 'motorcycle': 0.0012491853139257006, 'bus': 0.052357158374972845, 'tram1': 0.000651748859439496}"
vType_route_lengths_sum_in_meters,9229186.96
vType_route_lengths_in_meters,"{'passenger1': 6267706.359999981, 'bus': 172356.96000000002, 'tram1': 14322.550000000001, 'motorcycle': 60156.25, 'taxi1': 1339192.7599999995, 'SAV': 1375452.0799999998}"
average_travel_time_with_waiting_all_door_door,502.81333333333333
average_travel_time_with_waiting_per_mode_door_door,"{'walk': 289.41706161137444, 'passenger1': 642.402627511592, 'SAV': 930.6832298136646, 'taxi1': 976.8139534883721, 'motorcycle': 556.75, 'bus': 946.047619047619, 'tram1': 878.5}"
average_travel_time_without_waiting_all_door_door,419.0397849462366
average_travel_time_without_waiting_per_mode_door_door,"{'walk': 289.41706161137444, 'passenger1': 618.4907264296754, 'SAV': 494.2173913043478, 'taxi1': 431.5901162790698, 'motorcycle': 531.75, 'bus': 718.3333333333334, 'tram1': 600.0}"
average_ride_time_with_waiting_all,757.9216241737488
average_ride_time_with_waiting_per_mode,"{'passenger1': 642.402627511592, 'SAV': 930.6832298136646, 'taxi1': 976.8139534883721, 'motorcycle': 556.75, 'bus': 946.047619047619, 'tram1': 878.5}"
average_ride_time_without_waiting_all,358.728045325779
average_ride_time_without_waiting_per_mode,"{'passenger1': 342.47449768160743, 'SAV': 437.611801242236, 'taxi1': 398.97093023255815, 'motorcycle': 427.92857142857144, 'bus': 206.5079365079365, 'tram1': 116.25}"
average_route_length_person_all_in_meters_door_door,1409.3341892473102
average_route_length_person_per_mode_in_meters_door_door,"{'walk': 266.37837282780447, 'passenger1': 2741.017774343123, 'SAV': 3181.9667080745353, 'taxi1': 2935.4301744186027, 'motorcycle': 3317.5921428571432, 'bus': 1588.7773015873008, 'tram1': 1149.29}"
average_route_length_person_rides_in_meters,2586.1046458923506
average_route_length_person_rides_per_mode_in_meters,"{'passenger1': 2502.899149922718, 'SAV': 3118.292981366462, 'taxi1': 2896.6811046511607, 'motorcycle': 3209.254285714286, 'bus': 1152.8901587301586, 'tram1': 736.555}"
average_speed_kmh_with_waiting_all_door_door,10.090430672662452
average_speed_kmh_with_waiting_all_per_mode_door_door,"{'walk': 3.3134264332618315, 'passenger1': 15.360559818783097, 'SAV': 12.308248158035243, 'taxi1': 10.818384186843788, 'motorcycle': 21.45187555327475, 'bus': 6.045782654653443, 'tram1': 4.7096687535571995}"
average_speed_kmh_without_waiting_all_door_door,12.107688251943113
average_speed_kmh_without_waiting_all_per_mode_door_door,"{'walk': 3.3134264332618315, 'passenger1': 15.95442512872864, 'SAV': 23.17822146815972, 'taxi1': 24.48514975044958, 'motorcycle': 22.460426355027202, 'bus': 7.962317799138213, 'tram1': 6.89574}"
average_speed_kmh_with_waiting_rides,12.283561292187395
average_speed_kmh_with_waiting_rides_per_mode,"{'passenger1': 14.026152063892665, 'SAV': 12.061950160170857, 'taxi1': 10.675576387400893, 'motorcycle': 20.751352363846305, 'bus': 4.387099008405899, 'tram1': 3.018324416619237}"
average_speed_kmh_without_waiting_rides,25.952742882864378
average_speed_kmh_without_waiting_rides_per_mode,"{'passenger1': 26.30980408970081, 'SAV': 25.652541135894307, 'taxi1': 26.137372892470434, 'motorcycle': 26.99823335002504, 'bus': 20.09803904688701, 'tram1': 22.80944516129032}"
average_speed_ms_with_waiting_all_door_door,2.8028974090729033
average_speed_ms_with_waiting_all_per_mode_door_door,"{'walk': 0.9203962314616199, 'passenger1': 4.266822171884193, 'SAV': 3.418957821676456, 'taxi1': 3.005106718567719, 'motorcycle': 5.958854320354097, 'bus': 1.6793840707370673, 'tram1': 1.3082413204325554}"
average_speed_ms_with_waiting_rides_door_door,3.412100358940943
average_speed_ms_with_waiting_rides_per_mode_door_door,"{'passenger1': 3.8961533510812956, 'SAV': 3.3505417111585714, 'taxi1': 2.9654378853891368, 'motorcycle': 5.764264545512862, 'bus': 1.2186386134460832, 'tram1': 0.8384234490608992}"
average_speed_ms_without_waiting_all,3.3632467366508645
average_speed_ms_without_waiting_all_per_mode,"{'walk': 0.9203962314616199, 'passenger1': 4.431784757980178, 'SAV': 6.438394852266589, 'taxi1': 6.801430486235994, 'motorcycle': 6.23900732084089, 'bus': 2.211754944205059, 'tram1': 1.9154833333333332}"
average_speed_ms_without_waiting_rides,7.209095245240105
average_speed_ms_without_waiting_rides_per_mode,"{'passenger1': 7.30827891380578, 'SAV': 7.125705871081752, 'taxi1': 7.260381359019565, 'motorcycle': 7.4995092638958445, 'bus': 5.58278862413528, 'tram1': 6.335956989247311}"
